id,feature,verdict,evidence
F01,"L/R lean asymmetry (p95, per ride)",REJECTED,"SUPERSEDES the earlier WORKS verdict. Re-tested on 2 riders / ~21k corners, bootstrapped over rides (corners within a ride are not independent): effect <1 deg and the sign flips by estimator. Feature stays in the code, gated on the CI clearing zero, and never fires."
F02,headroom (p95 - p50 lean),WORKS,p50=2.4 deg p95=18.0 deg -> headroom 15.6 deg
F04,lean consistency sigma,WORKS,per-ride sd of |lean| ranges 0.0 - 19.9 deg across rides
F05a,style via BRAKE PRESSURE,DEAD,sensorsbreakpressurefront/rear are 100% flat at 0 on all 100 rides - channel absent on these bikes
F05b,style via THROTTLE + derived decel,WORKS,"throttle varies on 96% of rides, p50=19% p95=40%; decel from d(v)/dt available"
F06,smoothness (jerk RMS),WORKS-WEAK,computable but at 1 Hz this is coarse; per-ride jerk RMS spans 0.00 - 1.26 m/s^3
F07,gradient tolerance (climb vs descent),WORKS,"grade from positionrawelevation: p05=-8.7% p95=8.7%, 35% of points on >3% grade"
F10,pace index (own speed vs crowd),PROVEN,"UNBLOCKED by the salvaged lake. 113,155 of 244,930 user-A moving points (46.2%) snap to a crowd cell across 67 of 100 trips; pace = v / crowd_v_p85 has p50 0.82, only 18% of points above crowd p85. Per-trip pace vs per-trip lean ratio spearman +0.502 over 66 trips -> pace and lean co-vary, so the skill axis is calibrated against ~9.4k strangers, not a constant."
F11,fatigue curve (|lean| vs elapsed time),WORKS,slope +0.21 deg/hour over rides up to 9.8 h - needs per-rider clustering to be trusted
F14,Machine DNA (bike identity),WORKS+RISK,"bikeId present: 20 DISTINCT BIKES over 101 rides - user A is a TEST RIDER, so bike is a confounder for skill"
F16,rider level radar (per dimension),WORKS,all constituent axes computable except wet (no rain join yet) and surface
F17,curvature / corner radius,WORKS,radius = v / yaw_rate from positionmapmatchedheading; 100% of moving points give a usable radius
F18,required lean arctan(v*omega/g),PROVEN,"corr 0.576 with measured lean over 244,147 points - see PART 2"
F21,elevation / gradient,WORKS,positionrawelevation flat on only 1%% of rides (map-matched elevation is flat on 36%% - USE RAW)
